Timestamp,GroupSize,UserWeather,TravelMonth,Interest,AdditionalInfo,LikedDestinations
2025-04-17 19:18:27,8,Clear,Aug,Adventure,"local cuisine, isolated","Ladakh, Kerala Backwaters"
2025-04-17 19:18:27,11,Clear,February,Adventure,"isolated, less crowded","Varanasi, Rajasthan Forts"
2025-04-17 19:18:27,2,Sunny,May,Cultural,"peaceful stay, budget friendly",Darjeeling
2025-04-17 19:18:27,6,Windy,Feb,Cultural,accessible by road,"Rajasthan Forts, Mysore Palace"
2025-04-17 19:18:27,5,Sunny,Feb,Cultural,scenic views,Shimla
2025-04-17 19:18:27,12,Clear,October,Adventure,"budget friendly, isolated",Mysore Palace
2025-04-17 19:18:27,3,Rainy,November,Adventure,"local cuisine, pet friendly","Darjeeling, Rajasthan Forts"
2025-04-17 19:18:27,12,Rainy,December,Adventure,family friendly,Goa Beaches
2025-04-17 19:18:27,3,Windy,Jul,Nature,"hotels nearby, good food",Rajasthan Forts
2025-04-17 19:18:27,15,Cloudy,Jun,Nature,"isolated, accessible by road",Taj Mahal
2025-04-17 19:18:27,6,Cloudy,Aug,Adventure,"hotels nearby, scenic views",Varanasi
2025-04-17 19:18:27,13,Rainy,Dec,Adventure,scenic views,"Ladakh, Andaman Islands"
2025-04-17 19:18:27,6,Windy,June,Adventure,less crowded,"Ladakh, Rajasthan Forts"
2025-04-17 19:18:27,15,Cloudy,May,Adventure,isolated,Rajasthan Forts
2025-04-17 19:18:27,10,Rainy,October,Historical,"pet friendly, family friendly",Rajasthan Forts
2025-04-17 19:18:27,4,Sunny,June,Historical,"adventure activities, family friendly",Goa Beaches
2025-04-17 19:18:27,14,Clear,Feb,Historical,local cuisine,Ladakh
2025-04-17 19:18:27,12,Sunny,May,Adventure,"good food, scenic views","Mysore Palace, Darjeeling"
2025-04-17 19:18:27,8,Clear,Jan,Historical,"local cuisine, less crowded","Mysore Palace, Kerala Backwaters"
2025-04-17 19:18:27,2,Cloudy,Feb,Cultural,isolated,"Rajasthan Forts, Ladakh"
2025-04-17 19:18:27,14,Clear,December,Beach,"pet friendly, good food","Taj Mahal, Shimla"
